collection_name,dataset_id,dataset_title,tissue,disease,tissue_general,organism
Plaque Atlas,72955cdb-bd92-4135-aa52-21f33f9640db,plaque atlas,carotid artery segment;coronary artery;femoral artery,atherosclerosis,vasculature;heart,Homo sapiens
Acute response to pathogens in the early human placenta at single-cell resolution,3966ba97-beb8-4d0b-9954-d3775cd2cd61,Placenta Infection,placenta,normal;toxoplasmosis;Plasmodium malariae malaria;listeriosis,placenta,Homo sapiens
Single-cell eQTL mapping identifies cell type specific genetic control of autoimmune disease,3faad104-2ab8-4434-816d-474d8d2641db,Single-cell eQTL mapping identifies cell type specific genetic control of autoimmune disease,blood,normal,blood,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,34f5307e-7b4d-4a48-b68f-2ba844c6414b,Frozen samples (single nucleus),breast;liver;brain;chest wall;skin epidermis;axilla;bone spine,breast cancer,breast;liver;brain;chest wall;skin of body;axilla;skeletal system,Homo sapiens
Local and systemic responses to SARS-CoV-2 infection in children and adults,2a498ace-872a-4935-984b-1afa70fd9886,PBMC,blood,normal;COVID-19;post-COVID-19 disorder,blood,Homo sapiens
Human breast cell atlas,975e13b6-bec1-4eed-b46a-9be1f1357373,HBCA - epithelial,breast,normal,breast,Homo sapiens
Tabula Sapiens,c5d88abe-f23a-45fa-a534-788985e93dad,Tabula Sapiens - Immune,liver;trachea;blood;inguinal lymph node;lymph node;parotid gland;spleen;posterior part of tongue;mammary gland;endometrium;myometrium;eye;adipose tissue;subcutaneous adipose tissue;skin of body;bone marrow;cardiac atrium;cardiac ventricle;exocrine pancreas;prostate gland;skin of abdomen;skin of chest;lacrimal gland;uterus;tongue;muscle of pelvic diaphragm;rectus abdominis muscle;anterior part of tongue;sublingual gland;thymus;cornea;retinal neural layer;sclera;bladder organ;large intestine;lung;small intestine;muscle of abdomen;vasculature;coronary artery;kidney;muscle tissue;endocrine pancreas;aorta,normal,liver;respiratory system;blood;lymph node;exocrine gland;spleen;tongue;uterus;eye;adipose tissue;skin of body;bone marrow;heart;pancreas;prostate gland;musculature;endocrine gland;bladder organ;large intestine;lung;small intestine;vasculature;kidney,Homo sapiens
Human Brain Cell Atlas v1.0,b165f033-9dec-468a-9248-802fc6902a74,All non-neuronal cells,hypothalamus;pons;cerebral nuclei;thalamic complex;myelencephalon;hippocampal formation;midbrain;cerebellum;cerebral cortex;spinal cord,normal,brain;spinal cord,Homo sapiens
A human cell atlas of fetal gene expression,fa27492b-82ff-4ab7-ac61-0e2b184eee67,Survey of human embryonic development (1 million cells subset),eye;adrenal gland;cerebellum;telencephalon;heart;intestine;kidney;liver;lung;muscle organ;pancreas;placenta;spleen;stomach;thymus,normal;trisomy 18,eye;adrenal gland;brain;heart;intestine;kidney;liver;lung;musculature;pancreas;placenta;spleen;stomach;endocrine gland,Homo sapiens
Spatially resolved multiomics of human cardiac niches,d567b692-c374-4628-a508-8008f6778f22,Combined single cell and single nuclei RNA-Seq data - Heart Global,apex of heart;heart left ventricle;heart right ventricle;left cardiac atrium;interventricular septum;right cardiac atrium,normal,heart,Homo sapiens
Transcriptomic cytoarchitecture reveals principles of human neocortex organization,8d1dd010-5cbc-43fb-83f8-e0de8e8517da,Dissection: Primary visual cortex(V1),primary visual cortex,normal,brain,Homo sapiens
Cross-dementia human brain snRNA-seq (Rexach et al 2024),ac0c6561-7a48-4185-af6f-af799f699172,All Cells - snRNA-seq,primary visual cortex;insular cortex;Brodmann (1909) area 4,progressive supranuclear palsy;Alzheimer disease;Pick disease;normal,brain,Homo sapiens
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,364bd0c7-f7fd-48ed-99c1-ae26872b1042,Heart,left cardiac atrium;heart left ventricle;right cardiac atrium;heart right ventricle;apex of heart;interventricular septum,normal,heart,Homo sapiens
A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,"COMBAT project: single cell gene expression data from COVID-19, sepsis and flu patient PBMCs",blood,COVID-19;normal;influenza,blood,Homo sapiens
Azimuth meta-analysis of human scRNA-seq datasets,f72958f5-7f42-4ebb-98da-445b0c6de516,Human - Lung v2 (HLCA),lung parenchyma;respiratory airway;nose,normal,lung;respiratory system;nose,Homo sapiens
Cells of the human intestinal tract mapped across space and time,80a2c5b6-02e7-4fc0-9f12-179f5247c1bc,Total - Cells of the human intestinal tract mapped across space and time,ileum;small intestine;sigmoid colon;vermiform appendix;mesenteric lymph node;transverse colon;caecum;ascending colon;descending colon;rectum;duodenum;jejunum;large intestine;colon;lymph node,normal;Crohn disease,small intestine;colon;large intestine;lymph node,Homo sapiens
Single-cell analysis of prenatal and postnatal human cortical development,1a38e762-2465-418f-b81c-6a4bce261c34,Single-cell analysis of prenatal and postnatal human cortical development,frontal cortex;cingulate cortex;insular cortex;cerebral cortex;temporal cortex;lateral ganglionic eminence;caudal ganglionic eminence;medial ganglionic eminence;ganglionic eminence;primary motor cortex,normal,brain;embryo,Homo sapiens
The integrated Human Lung Cell Atlas,066943a2-fdac-4b29-b348-40cede398e4e,An integrated cell atlas of the human lung in health and disease (core),lung parenchyma;respiratory airway;nose,normal,lung;respiratory system;nose,Homo sapiens
Tabula Muris Senis,f16a8f4d-bc97-43c5-a2f6-bbda952e4c5c,All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,tongue;heart;bone marrow;mammary gland;adipose tissue;kidney;liver;lung;limb muscle;pancreas;spleen;thymus;bladder lumen;skin of body;large intestine;trachea;diaphragm;brain;brown adipose tissue;gonadal fat pad;mesenteric fat pad;subcutaneous adipose tissue;aorta,normal,tongue;heart;bone marrow;exocrine gland;adipose tissue;kidney;liver;lung;musculature;pancreas;spleen;endocrine gland;urinary bladder;skin of body;large intestine;respiratory system;brain;vasculature,Mus musculus
Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,01ad3cd7-3929-4654-84c0-6db05bd5fd59,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,blood,COVID-19;normal;respiratory system disorder,blood,Homo sapiens
Molecular Signatures of Resilience to Alzheimer’s Disease in Neocortical Layer 4 Neurons,cff99df2-4904-44f7-9173-ff837f95606e,all cells,Brodmann (1909) area 9;Brodmann (1909) area 7;Brodmann (1909) area 17,Alzheimer disease;normal,brain,Homo sapiens
Human developing neocortex by area,ae4f8ddd-cac9-4172-9681-2175da462f2e,Second Trimester Human Developing Brain Regions and Cortical Areas,prefrontal cortex;primary motor cortex;parietal cortex;primary somatosensory cortex;temporal cortex;primary visual cortex,normal,brain,Homo sapiens
A spatially resolved single cell genomic atlas of the adult human breast,842c6f5d-4a94-4eef-8510-8c792d1124bc,scRNA-seq data - all cells,breast,normal,breast,Homo sapiens
Mapping the developing human immune system across organs,48101fa2-1a63-4514-b892-53ea1d3a8657,HSC/immune cells (all hematopoietic-derived cells),skin of body;spleen;yolk sac;liver;thymus;gut wall;bone marrow;kidney;mesenteric lymph node,normal,skin of body;spleen;yolk sac;liver;endocrine gland;digestive system;bone marrow;kidney;lymph node,Homo sapiens
Single-cell multi-omics analysis of the immune response in COVID-19,c7775e88-49bf-4ba2-a03b-93f00447c958,Single-cell multi-omics analysis of the immune response in COVID-19,blood,COVID-19;normal;respiratory system disorder,blood,Homo sapiens
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",96a9b396-654b-4507-acaf-5019987250f0,Major cell cluster: Epithelial cells,embryo,normal,embryo,Mus musculus
Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,65badd7a-9262-4fd1-9ce2-eb5dc0ca8039,DCM/ACM heart cell atlas: All cells,heart right ventricle;interventricular septum;heart left ventricle;apex of heart,dilated cardiomyopathy;normal;arrhythmogenic right ventricular cardiomyopathy;non-compaction cardiomyopathy,heart,Homo sapiens
Single cell atlas of the human retina,975fd2d3-1982-47a1-9ef7-8cde3345f219,snRNA-seq of human retina - bipolar cell subset,peripheral region of retina;fovea centralis;macula lutea proper;macula lutea,normal,eye,Homo sapiens
Early human lung immune cell development and its role in epithelial cell fate,350237e0-9f48-4cbd-9140-3b44495549f3,Fetal lung + Pan-fetal immune,lung,normal,lung,Homo sapiens
Single cell atlas of the human retina,95ce06a0-7de9-4ab2-bcd1-a6625f55e7e3,snRNA-seq of human retina - retinal ganglion cell subset,peripheral region of retina;fovea centralis;macula lutea proper;macula lutea,normal,eye,Homo sapiens
Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,3c361813-5d5e-4868-bfe5-e7591e7b5381,Single-nucleus transcriptome data from the dlPFC,dorsolateral prefrontal cortex,normal,brain,Homo sapiens
An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types,35081d47-99bf-4507-9541-735428df9a9f,An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types,primary motor cortex,normal,brain,Mus musculus
"Harmonized single-cell landscape, intercellular crosstalk and tumor architecture of glioblastoma",c888b684-6c51-431f-972a-6c963044cef0,Core GBmap,left temporal lobe;right frontal lobe;right parietal lobe;right temporal lobe;brain;forebrain;left frontal lobe;temporoparietal junction;left parietal lobe;temporal lobe;frontal lobe,glioblastoma,brain,Homo sapiens
Human breast cell atlas,0ba636a1-4754-4786-a8be-7ab3cf760fd6,HBCA - global,breast,normal,breast,Homo sapiens
Mapping the developing human immune system across organs,fd072bc3-2dfb-46f8-b4e3-467cb3223182,Full dataset of single-cell RNA-seq profiles from 9 developmental tissues across gestation (4-17 pcw),skin of body;spleen;yolk sac;liver;thymus;gut wall;bone marrow;kidney;mesenteric lymph node,normal,skin of body;spleen;yolk sac;liver;endocrine gland;digestive system;bone marrow;kidney;lymph node,Homo sapiens
Tabula Sapiens,53d208b0-2cfd-4366-9866-c3c6114081bc,Tabula Sapiens - All Cells,liver;trachea;blood;inguinal lymph node;lymph node;parotid gland;spleen;anterior part of tongue;posterior part of tongue;mammary gland;endometrium;myometrium;eye;conjunctiva;adipose tissue;subcutaneous adipose tissue;skin of body;bone marrow;cardiac atrium;cardiac ventricle;exocrine pancreas;prostate gland;skin of abdomen;skin of chest;lacrimal gland;uterus;tongue;muscle of pelvic diaphragm;rectus abdominis muscle;sublingual gland;thymus;cornea;retinal neural layer;sclera;bladder organ;large intestine;lung;small intestine;muscle of abdomen;vasculature;coronary artery;kidney;muscle tissue;endocrine pancreas;aorta,normal,liver;respiratory system;blood;lymph node;exocrine gland;spleen;tongue;uterus;eye;adipose tissue;skin of body;bone marrow;heart;pancreas;prostate gland;musculature;endocrine gland;bladder organ;large intestine;lung;small intestine;vasculature;kidney,Homo sapiens
Asian Immune Diversity Atlas (AIDA),b0e547f0-462b-4f81-b31b-5b0a5d96f537,"AIDA Phase 1 Data Freeze v1: Chinese, Indian, Japanese, Korean, and Malay donors in Japan, Singapore, and South Korea",blood,normal,blood,Homo sapiens
A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation,d7291f04-fbbb-4d65-990a-f01fa44e915b,Single-cell RNA-seq for all cortical & hippocampal regions (10x),parietal cortex;visual cortex;entorhinal cortex;hippocampal formation;primary somatosensory cortex;anterior cingulate cortex;agranular insular cortex;primary motor cortex;subicular complex;frontal lobe;retrosplenial granular cortex;posterior parietal association areas;auditory cortex;temporal cortex;medial orbital frontal cortex;primary visual cortex;lateral visual area,normal,brain,Mus musculus
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,74014ef8-d2d0-4cbc-8ba2-037f30753ffd,Hippocampus,hippocampal formation,normal,brain,Homo sapiens
"Harmonized single-cell landscape, intercellular crosstalk and tumor architecture of glioblastoma",56c4912d-2bae-4b64-98f2-af8a84389208,Extended GBmap,left temporal lobe;right frontal lobe;right parietal lobe;right temporal lobe;brain;forebrain;left frontal lobe;temporoparietal junction;left parietal lobe;temporal lobe;frontal lobe;right occipital lobe;basal ganglion;parietal lobe;occipital lobe,glioblastoma,brain,Homo sapiens
Single-cell RNA-seq reveals the cell-type-specific molecular and genetic associations to lupus,218acb0f-9f2f-4f76-b90b-15a4b7c7f629,multiplexed scRNA-seq of 1.2 million PBMCs from adult lupus samples,blood,normal;systemic lupus erythematosus,blood,Homo sapiens
Comprehensive cell atlas of the first-trimester developing human brain,13149914-ea03-4f01-8bf6-b793b667127b,All,cortex;hypothalamus;dorsal plus ventral thalamus;cerebellar peduncular complex;forebrain;basal forebrain;cerebellum;midbrain tectum;medulla oblongata;midbrain;metencephalon;diencephalon;pons;striatum;telencephalon;hindbrain;head;cerebral subcortex;entorhinal cortex;hippocampal formation;choroid plexus epithelium;frontal cortex;lower layers of the cortex;occipital cortex;upper layers of the cortex;caudate-putamen;brain,normal,cortex;brain;head,Homo sapiens
High-resolution single-cell atlas reveals diversity and plasticity of tumor-associated neutrophils in non-small cell lung cancer,232f6a5a-a04c-4758-a6e8-88ab2e3a6e69,The single-cell lung cancer atlas (LuCA) -- core atlas,lung;brain;lymph node;pleural effusion;liver;adrenal tissue,normal;chronic obstructive pulmonary disease;non-small cell lung carcinoma;squamous cell lung carcinoma;lung adenocarcinoma,lung;brain;lymph node;pleural fluid;liver;adrenal gland,Homo sapiens
Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,a9c78d49-06c2-4195-97e0-33fe6dcb54a1,harmony_integrated_data,blood,normal,blood,Homo sapiens
COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas,9dbab10c-118d-496b-966a-67f1763a6b7d,Large-scale single-cell analysis reveals critical immune characteristics of COVID-19 patients,blood;lung;saliva,COVID-19;normal,blood;lung;saliva,Homo sapiens
High-resolution single-cell atlas reveals diversity and plasticity of tumor-associated neutrophils in non-small cell lung cancer,1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1,The single-cell lung cancer atlas (LuCA) -- extended atlas,lung;brain;lymph node;pleural effusion;liver;adrenal tissue,normal;chronic obstructive pulmonary disease;non-small cell lung carcinoma;squamous cell lung carcinoma;lung adenocarcinoma,lung;brain;lymph node;pleural fluid;liver;adrenal gland,Homo sapiens
Single-cell transcriptomic atlas for adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,All major cell types in adult human retina,macula lutea proper;fovea centralis;peripheral region of retina,normal,eye,Homo sapiens
Human breast cell atlas,55003f67-c494-46f1-83fb-902745646379,Integrated HBCA,breast,normal,breast,Homo sapiens
A human cell atlas of fetal gene expression,f7c1c579-2dc0-47e2-ba19-8165c5a0e353,Survey of human embryonic development,eye;adrenal gland;cerebellum;telencephalon;heart;intestine;kidney;liver;lung;muscle organ;pancreas;placenta;spleen;stomach;thymus,normal;trisomy 18,eye;adrenal gland;brain;heart;intestine;kidney;liver;lung;musculature;pancreas;placenta;spleen;stomach;endocrine gland,Homo sapiens
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",97daf5d0-c608-49da-9d8b-85a1f8fc47d8,Major cell cluster: Neuroectoderm and glia,embryo,normal,embryo,Mus musculus
iPain atlas,b6f472f1-a58d-43a7-a898-2d6822a0b2b2,iPain Atlas DRG All Cells - RNA,dorsal root ganglion,peripheral neuropathy;normal,nervous system,Mus musculus
The integrated Human Lung Cell Atlas,9f222629-9e39-47d0-b83f-e08d610c7479,An integrated cell atlas of the human lung in health and disease (full),lung parenchyma;lung;respiratory airway;nose,normal;pulmonary fibrosis;squamous cell lung carcinoma;COVID-19;lung adenocarcinoma;chronic obstructive pulmonary disease;pulmonary sarcoidosis;pneumonia;lymphangioleiomyomatosis;interstitial lung disease;cystic fibrosis;chronic rhinitis;pleomorphic carcinoma;lung large cell carcinoma;hypersensitivity pneumonitis;non-specific interstitial pneumonia,lung;respiratory system;nose,Homo sapiens
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",606bd36a-be20-4103-827f-e8b4b3e477fc,Major cell cluster: CNS neurons,embryo,normal,embryo,Mus musculus
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",b47eaa46-508d-4817-8a75-5bece9ea30f9,Whole dataset: Normalized subset 4,embryo,normal,embryo,Mus musculus
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",e6a47f6f-ae9a-41ff-a6f7-5f9b9dbd3e7f,Whole dataset: Normalized subset 3,embryo,normal,embryo,Mus musculus
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",a91d5064-aba3-4688-9fcd-6187b2f435a4,Whole dataset: Normalized subset 1,embryo,normal,embryo,Mus musculus
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",0bce33ed-455c-4e12-93f8-b7b04a2de4a1,Whole dataset: Normalized subset 2,embryo,normal,embryo,Mus musculus
Single cell atlas of the human retina,d6505c89-c43d-4c28-8c4f-7351a5fd5528,snRNA-seq of human retina - all cells,peripheral region of retina;fovea centralis;macula lutea proper;macula lutea,normal,eye,Homo sapiens
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",dcfa2614-7ca7-4d82-814c-350626eccb26,Major cell cluster: Mesoderm,embryo,normal,embryo,Mus musculus
"A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup",dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3,Whole dataset: Raw counts only,embryo,normal,embryo,Mus musculus
SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,c2876b1b-06d8-4d96-a56b-5304f815b99a,Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),middle temporal gyrus,normal;dementia,brain,Homo sapiens
SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),dorsolateral prefrontal cortex,normal;dementia,brain,Homo sapiens
